S.no,frame_id,child_frame_id,X,Y,Z,o_x,o_y,o_z
170,base_footprint,36,0.01454828453126,-0.006909228126695,2.76124182768124,-0.044159117281307,-2.49738764901763,0.003268284345735
171,base_footprint,36,0.017326522678026,-0.006805648719893,2.7401110820687,-0.044159117281307,-2.49738764901763,0.003268284345735
172,base_footprint,36,0.017326522678026,-0.006805648719893,2.7401110820687,-0.039201494462036,-2.49735524430208,0.003269496681082
173,base_footprint,36,0.015942107941588,-0.006897423059206,2.72903526521694,-0.039201494462036,-2.49735524430208,0.003269496681082
174,-,-,-,-,-,-0.034242481197524,-2.4973228261693,0.003270140613832
175,-,-,-,-,-,-0.02913312302489,-2.49728943116095,0.003269223661735
176,base_footprint,36,0.015942107941588,-0.006897423059206,2.72903526521694,-0.02913312302489,-2.49728943116095,0.003269223661735
177,-,-,-,-,-,-0.024175652654153,-2.4972570504662,0.003268603597812
178,-,-,-,-,-,-0.019220435365614,-2.49722472783797,0.003268601507174
179,base_footprint,36,0.015942107941588,-0.006897423059206,2.72903526521694,-0.019220435365614,-2.49722472783797,0.003268601507174
180,-,-,-,-,-,-0.014116894104272,-2.49719146349697,0.003280486456252
181,base_footprint,36,0.016984281806679,-0.006972827398788,2.69730055534536,-0.014116894104272,-2.49719146349697,0.003280486456252
182,-,-,-,-,-,-0.009168073924209,-2.49715892714893,0.003361752299535
183,base_footprint,36,0.016924508351052,-0.00778929283215,2.70377926866689,-0.009168073924209,-2.49715892714893,0.003361752299535
184,base_footprint,36,0.016666666923229,-0.008333333465619,2.70833337367901,-0.009168073924209,-2.49715892714893,0.003361752299535
185,base_footprint,36,0.016666666923229,-0.008333333465619,2.70833337367901,-0.004261527593978,-2.49712487857312,0.00346660349766
186,base_footprint,36,0.017041837913016,-0.006969364744937,2.67296793719622,-0.004261527593978,-2.49712487857312,0.00346660349766
187,-,-,-,-,-,0.000828542470674,-2.49708945362318,0.003488073704995
188,-,-,-,-,-,0.005769599962062,-2.49705497646737,0.003491444010269
189,base_footprint,36,0.017041837913016,-0.006969364744937,2.67296793719622,0.005769599962062,-2.49705497646737,0.003491444010269
190,-,-,-,-,-,0.010710088541036,-2.49702046475842,0.003495603069296
191,base_footprint,36,0.017741318491153,-0.007488657251215,2.6712408695179,0.010710088541036,-2.49702046475842,0.003495603069296
192,-,-,-,-,-,0.01580097593442,-2.4969848630487,0.003500279835184
193,-,-,-,-,-,0.020743436202373,-2.49695024665064,0.00350456821311
194,base_footprint,25,1.10500653658146,-0.007822004533474,2.54936971016066,0.020743436202373,-2.49695024665064,0.00350456821311
195,base_footprint,36,0.017020549760761,-0.00612348931511,2.6569414324513,0.020743436202373,-2.49695024665064,0.00350456821311
196,-,-,-,-,-,0.025687459676396,-2.49691557392303,0.003508393022716
197,base_footprint,36,0.017020549760761,-0.00612348931511,2.6569414324513,0.025687459676396,-2.49691557392303,0.003508393022716
198,base_footprint,25,1.09193858518719,-0.007617221451501,2.49517740523685,0.025687459676396,-2.49691557392303,0.003508393022716
